"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"nieder";"Breite";"Lange"
"GEORGSMARIENHUETTE";133;"52°11'";"08°03'";986.4;52.18;8.05
"GERA OT ROBEN-STEINBR.";305;"50°56'";"12°02'";600.1;50.93;12.03
"GERA-LANGENBERG";242;"50°55'";"12°03'";602.2;50.92;12.05
"GERA-LEUMNITZ (WEWA)";311;"50°52'";"12°07'";591.5;50.87;12.12
"GERA-UNTERMHAUS";200;"50°53'";"12°03'";665.9;50.88;12.05
"GERA-ZWOETZEN";220;"50°51'";"12°05'";577.9;50.85;12.08
"GERABRONN";474;"49°15'";"09°56'";902.4;49.25;9.93
"GERDSHAGEN";100;"53°14'";"12°11'";597.6;53.23;12.18
"GERETSRIED";608;"47°50'";"11°28'";1297.7;47.83;11.47
"GERMERSHEIM";106;"49°12'";"08°22'";768.2;49.2;8.37
"GERNRODE";210;"51°43'";"11°07'";545.1;51.72;11.12
"GERNRODE-STERNHAUS";412;"51°41'";"11°08'";663.6;51.68;11.13
"GERNSHEIM-ALLMENDFELD";90;"49°45'";"08°31'";666.6;49.75;8.52
"GERODA";465;"50°17'";"09°54'";972.3;50.28;9.9
"GERODA-PLATZ";550;"50°16'";"09°54'";912.6;50.27;9.9
"GEROLDSGRUEN-STEINBACH";646;"50°21'";"11°35'";1002.2;50.35;11.58
"GERSDORF";52;"54°04'";"11°44'";628.9;54.07;11.73
"GERSFELD (PKST)";530;"50°26'";"09°55'";985.9;50.43;9.92
"GERSFELD-DALHERDA";677;"50°25'";"09°50'";933.4;50.42;9.83
"GERSHEIM";240;"49°09'";"07°12'";904.5;49.15;7.2
"GERSTETTEN";653;"48°37'";"10°02'";890.6;48.62;10.03
"GERSTETTEN-DETTINGEN";582;"48°36'";"10°07'";786.2;48.6;10.12
"GERSTHOFEN";455;"48°27'";"10°53'";681.9;48.45;10.88
"GERSTUNGEN";210;"50°57'";"10°04'";573.7;50.95;10.07
"GERWISCH";45;"52°11'";"11°45'";473.7;52.18;11.75
"GESCHER";62;"51°56'";"06°59'";800.9;51.93;6.98
"GESEKE-ERINGERFELD";215;"51°35'";"08°28'";807.3;51.58;8.47
"GESSERTSHAUSEN-WOLLISHS.";483;"48°19'";"10°42'";845.9;48.32;10.7
"GIBACHT";850;"49°20'";"12°47'";980.5;49.33;12.78
"GIEBELSTADT";295;"49°39'";"09°56'";630.6;49.65;9.93
"GIEBOLDEHAUSEN";155;"51°36'";"10°13'";657.5;51.6;10.22
"GIELEROTH-AMTEROTH";262;"50°40'";"07°39'";1023.1;50.67;7.65
"GIESSEN (LAHNTAL)";158;"50°35'";"08°39'";695.7;50.58;8.65
"GIESSEN (WEWA)";186;"50°35'";"08°41'";652.6;50.58;8.68
"GIFHORN";51;"52°29'";"10°33'";636.2;52.48;10.55
"GILCHING";550;"48°06'";"11°16'";981.0;48.1;11.27
"GILLERSHEIM";168;"51°38'";"10°05'";717.8;51.63;10.08
"GILMERDINGEN";77;"53°02'";"09°44'";771.9;53.03;9.73
"GILSERBERG-MOISCHEID";340;"50°57'";"09°03'";711.7;50.95;9.05
"GINGST";9;"54°27'";"13°15'";615.7;54.45;13.25
"GITTELDE";215;"51°48'";"10°10'";893.6;51.8;10.17
"GLADENBACH";270;"50°46'";"08°35'";795.6;50.77;8.58
"GLADIGAU";30;"52°46'";"11°34'";525.6;52.77;11.57
"GLASHUETTE-SCHLOTTWITZ";235;"50°53'";"13°48'";724.5;50.88;13.8
"GLASHUETTEN-SCHLOSSBORN";368;"50°12'";"08°23'";785.2;50.2;8.38
"GLATTEN";506;"48°27'";"08°31'";1048.1;48.45;8.52
"GLAUZIG";81;"51°39'";"11°59'";486.8;51.65;11.98
"GLEICHEN-ELBICKERODE";318;"51°26'";"10°03'";685.4;51.43;10.05
"GLEICHEN-REINHAUSEN";185;"51°28'";"09°58'";690.5;51.47;9.97
"GLINDENBERG";43;"52°14'";"11°41'";471.6;52.23;11.68
"GLOETT";440;"48°30'";"10°29'";716.7;48.5;10.48
"GLOTTERTAL";326;"48°02'";"07°56'";1087.0;48.03;7.93
"GLUECKSBURG-HOLNIS";5;"54°52'";"09°35'";787.9;54.87;9.58
"GLUECKSTADT";2;"53°47'";"09°25'";791.0;53.78;9.42
"GNUTZ";25;"54°08'";"09°49'";852.0;54.13;9.82
"GOCH-ASPERDEN";16;"51°41'";"06°06'";780.2;51.68;6.1
"GOEGGINGEN";490;"48°51'";"09°53'";988.1;48.85;9.88
"GOEHREN,KRS.MECKL.-STRE.";110;"53°25'";"13°34'";577.3;53.42;13.57
"GOEHREN-DOEHLEN";300;"50°42'";"12°01'";632.5;50.7;12.02
"GOELLHEIM";243;"49°35'";"08°02'";556.1;49.58;8.03
"GOEPPINGEN-HOHENSTAUFEN";565;"48°44'";"09°43'";1036.9;48.73;9.72
"GOEPPINGEN-JEBENHAUSEN";367;"48°41'";"09°38'";898.7;48.68;9.63
"GOERISRIED";795;"47°42'";"10°30'";1552.6;47.7;10.5
"GOERITZ";37;"53°24'";"13°54'";473.4;53.4;13.9
"GOERLITZ (WEWA)";238;"51°09'";"14°57'";656.7;51.15;14.95
"GOERLITZ-KUNNERWITZ";271;"51°07'";"14°56'";640.9;51.12;14.93
"GOERMIN-PASSOW";19;"53°59'";"13°14'";529.8;53.98;13.23
"GOERWIHL-SEGETEN";879;"47°39'";"08°01'";1582.0;47.65;8.02
"GOERZKE";95;"52°10'";"12°22'";555.5;52.17;12.37
"GOESCHITZ";410;"50°37'";"11°52'";644.7;50.62;11.87
"GOESSNITZ";243;"50°53'";"12°26'";622.3;50.88;12.43
"GOESSWEINSTEIN";443;"49°46'";"11°18'";903.3;49.77;11.3
"GOETTIN";45;"52°22'";"12°33'";501.0;52.37;12.55
"GOETTINGEN (WEWA)";173;"51°30'";"09°57'";644.9;51.5;9.95
"GOETTINGEN-ESEBECK";243;"51°33'";"09°50'";727.3;51.55;9.83
"GOLDBERG (AWST)";58;"53°36'";"12°06'";566.3;53.6;12.1
"GOLDENBOW";52;"53°32'";"11°45'";584.9;53.53;11.75
"GOLLENSDORF";21;"52°57'";"11°32'";590.2;52.95;11.53
"GOLLHOFEN";308;"49°34'";"10°11'";678.3;49.57;10.18
"GOLLMITZ";116;"51°42'";"13°53'";602.5;51.7;13.88
"GOLSSEN";62;"51°58'";"13°35'";561.4;51.97;13.58
"GOMMERN";53;"52°04'";"11°49'";484.7;52.07;11.82
"GORDEN";104;"51°32'";"13°37'";556.6;51.53;13.62
"GORLEBEN";23;"53°02'";"11°21'";559.8;53.03;11.35
"GORNHAUSEN";480;"49°51'";"07°02'";868.6;49.85;7.03
"GOSECK";160;"51°11'";"11°52'";506.3;51.18;11.87
"GOSLAR";266;"51°55'";"10°26'";781.2;51.92;10.43
"GOSSA";98;"51°40'";"12°26'";538.8;51.67;12.43
"GOSSWITZ";410;"50°38'";"11°28'";599.2;50.63;11.47
"GOTHA-SUNDHAUSEN";321;"50°56'";"10°40'";566.7;50.93;10.67
"GOTTLEUBA,BAD";740;"50°51'";"13°56'";741.0;50.85;13.93
"GOTTLEUBA,BAD (TALSP.)";430;"50°50'";"13°56'";695.6;50.83;13.93
"GOTTMADINGEN";430;"47°43'";"08°46'";815.8;47.72;8.77
"GRAAL-MUERITZ,SEEHEILBAD";3;"54°14'";"12°14'";636.7;54.23;12.23
"GRABEN-NEUDORF";104;"49°09'";"08°29'";728.2;49.15;8.48
"GRABOW (HECHTSFORTHSL)";30;"53°18'";"11°35'";668.2;53.3;11.58
"GRABOW-ZIEGELSDORF";62;"52°15'";"11°58'";525.5;52.25;11.97
"GRABOWHOEFE";70;"53°34'";"12°36'";561.1;53.57;12.6
"GRAEFENBERG";477;"49°38'";"11°14'";907.5;49.63;11.23
"GRAEFENBERG-RANGEN";485;"49°40'";"11°12'";866.6;49.67;11.2
"GRAEFENRODA";460;"50°44'";"10°47'";738.0;50.73;10.78
"GRAEFENTONNA";196;"51°05'";"10°44'";492.3;51.08;10.73
"GRAEFENWARTH (SPERRMAUER";412;"50°31'";"11°43'";593.1;50.52;11.72
"GRAEFINAU-ANGSTEDT";410;"50°41'";"11°01'";618.3;50.68;11.02
"GRAFENHAUSEN/HOCHSCHW.";922;"47°46'";"08°15'";1223.3;47.77;8.25
"GRAFENWOEHR";411;"49°43'";"11°54'";736.5;49.72;11.9
"GRAFENWOEHR-GRUB";404;"49°40'";"11°59'";687.8;49.67;11.98
"GRAFLING";440;"48°53'";"12°58'";1220.7;48.88;12.97
"GRAFLING-MUEHLEN";586;"48°56'";"12°58'";1212.0;48.93;12.97
"GRAFRATH-UNTERALTING";555;"48°07'";"11°09'";1098.4;48.12;11.15
"GRAINAU";760;"47°28'";"11°01'";1263.0;47.47;11.02
"GRAINAU-EIBSEE";1010;"47°27'";"10°59'";1383.2;47.45;10.98
"GRAINET-REHBERG";628;"48°47'";"13°37'";1078.2;48.78;13.62
"GRAMBEK";27;"53°34'";"10°40'";703.0;53.57;10.67
"GRAMBOW";39;"53°25'";"14°20'";523.7;53.42;14.33
"GRAMZOW";60;"53°12'";"14°00'";520.5;53.2;14
"GRANSEE";54;"53°00'";"13°10'";541.0;53;13.17
"GRANZIN";65;"53°30'";"11°56'";625.0;53.5;11.93
"GRASELLENBACH-SCHARBACH";522;"49°37'";"08°48'";1117.7;49.62;8.8
"GRASSAU";540;"47°47'";"12°29'";1607.0;47.78;12.48
"GRAUPA";183;"51°00'";"13°55'";660.6;51;13.92
"GRAUSTEIN";139;"51°34'";"14°28'";572.0;51.57;14.47
"GREBENAU";264;"50°44'";"09°28'";731.4;50.73;9.47
"GREBENAU-REIMENROD";333;"50°45'";"09°25'";707.0;50.75;9.42
"GREBENHAIN";435;"50°29'";"09°20'";1100.1;50.48;9.33
"GREBENHAIN-HERCHENHAIN";608;"50°28'";"09°15'";1306.7;50.47;9.25
"GREBENHAIN-IL.-HOCHWALD.";475;"50°31'";"09°19'";1263.1;50.52;9.32
"GREBENSTEIN";190;"51°27'";"09°24'";682.1;51.45;9.4
"GREDING";388;"49°02'";"11°21'";715.7;49.03;11.35
"GREDING-OESTERBERG";562;"49°06'";"11°20'";777.0;49.1;11.33
"GREIFENSTEIN";430;"50°37'";"08°17'";909.4;50.62;8.28
"GREIFFENBERG";40;"53°05'";"13°58'";546.4;53.08;13.97
"GREIFSWALD (WEWA)";6;"54°05'";"13°24'";565.0;54.08;13.4
"GREIMERATH";450;"49°33'";"06°41'";991.1;49.55;6.68
"GREIZ-DOELAU";270;"50°37'";"12°10'";663.0;50.62;12.17
"GREIZ-DOELAU (STAUSEE)";273;"50°37'";"12°10'";652.9;50.62;12.17
"GREMSDORF";272;"49°41'";"10°50'";638.2;49.68;10.83
"GREUSSEN";163;"51°13'";"10°56'";446.2;51.22;10.93
"GREVEN-GRANZIN";52;"53°27'";"10°50'";691.8;53.45;10.83
"GREVENBROICH-NEURATH";71;"51°02'";"06°35'";716.3;51.03;6.58
"GREVESMUEHLEN";25;"53°49'";"11°10'";646.7;53.82;11.17
"GRIEBEN";30;"52°26'";"11°59'";518.1;52.43;11.98
"GRIEBENOW-KREUTZMANNSH.";13;"54°05'";"13°12'";579.4;54.08;13.2
"GRIEBO";74;"51°53'";"12°30'";581.5;51.88;12.5
"GRIESBACH,BAD IM ROTTAL";444;"48°27'";"13°11'";843.5;48.45;13.18
"GRIESSEN";98;"51°51'";"14°35'";560.6;51.85;14.58
"GRIMMA";150;"51°14'";"12°42'";638.3;51.23;12.7
"GRIMMEN";15;"54°06'";"13°04'";598.0;54.1;13.07
"GROEBEN";155;"51°07'";"12°02'";534.2;51.12;12.03
"GROEBEN-JUETCHENDORF";37;"52°17'";"13°11'";527.0;52.28;13.18
"GROEBENZELL";508;"48°11'";"11°22'";930.6;48.18;11.37
"GROEBZIG";78;"51°41'";"11°52'";464.4;51.68;11.87
"GROEDITZ";94;"51°25'";"13°26'";486.0;51.42;13.43
"GROEMITZ";15;"54°09'";"10°57'";662.4;54.15;10.95
"GROENINGEN";90;"51°56'";"11°13'";450.3;51.93;11.22
"GROETSCH";64;"51°47'";"14°30'";564.3;51.78;14.5
"GRONAU";40;"52°12'";"07°01'";802.9;52.2;7.02
"GROSS BERSSEN";35;"52°46'";"07°29'";778.3;52.77;7.48
"GROSS BOELKOW-MATERSEN";17;"53°59'";"11°59'";634.6;53.98;11.98
"GROSS BOERNECKE";78;"51°53'";"11°28'";488.5;51.88;11.47
"GROSS BRUETZ";78;"53°39'";"11°15'";624.7;53.65;11.25
"GROSS DOELLN";58;"52°59'";"13°31'";596.9;52.98;13.52
"GROSS DUEBEN";133;"51°34'";"14°34'";605.1;51.57;14.57
"GROSS IPPENER";35;"52°57'";"08°37'";714.3;52.95;8.62
"GROSS KIESOW-SCHLAGTOW";34;"54°00'";"13°30'";604.7;54;13.5
"GROSS KRANKOW-KAESELOW";50;"53°50'";"11°19'";592.7;53.83;11.32
"GROSS KRANKOW-KLEIN KRAN";45;"53°48'";"11°18'";589.6;53.8;11.3
"GROSS KREUTZ";31;"52°24'";"12°47'";534.7;52.4;12.78
"GROSS LEUTHEN";50;"52°02'";"14°02'";558.8;52.03;14.03
"GROSS LUESEWITZ";40;"54°04'";"12°20'";603.0;54.07;12.33
"GROSS MUEHLINGEN";65;"51°57'";"11°42'";470.2;51.95;11.7
"GROSS NEUENDORF";8;"52°42'";"14°24'";494.2;52.7;14.4
"GROSS NIENDORF";65;"53°35'";"11°51'";594.2;53.58;11.85
"GROSS OESINGEN";73;"52°38'";"10°26'";726.2;52.63;10.43
"GROSS QUENSTEDT";100;"51°55'";"11°07'";488.8;51.92;11.12
"GROSS RODENSLEBEN";125;"52°07'";"11°23'";515.2;52.12;11.38
"GROSS SCHOENEBECK";60;"52°55'";"13°31'";589.8;52.92;13.52
"GROSS SCHWARZLOSEN";45;"52°30'";"11°45'";506.8;52.5;11.75
"GROSS SCHWECHTEN";39;"52°41'";"11°48'";538.3;52.68;11.8
"GROSS WITTENSEE";15;"54°24'";"09°45'";842.0;54.4;9.75
"GROSS-GERAU-WALLERSTAED.";87;"49°54'";"08°26'";621.9;49.9;8.43
"GROSS-UMSTADT";168;"49°52'";"08°56'";687.9;49.87;8.93
"GROSSALMERODE";390;"51°15'";"09°47'";921.4;51.25;9.78
"GROSSALSLEBEN";85;"51°58'";"11°13'";590.2;51.97;11.22
"GROSSBEEREN";40;"52°22'";"13°19'";547.4;52.37;13.32
"GROSSBERNDTEN";400;"51°22'";"10°42'";595.3;51.37;10.7
"GROSSBOCKEDRA";265;"50°51'";"11°40'";571.5;50.85;11.67
"GROSSBOTTWAR";224;"49°00'";"09°17'";760.9;49;9.28
"GROSSBREITENBACH";668;"50°34'";"11°00'";1023.7;50.57;11
"GROSSEFEHN-STRACKHOLT";8;"53°22'";"07°38'";719.4;53.37;7.63
"GROSSEN LUCKOW";18;"53°40'";"12°31'";594.4;53.67;12.52
"GROSSENBERG";328;"51°57'";"09°17'";873.9;51.95;9.28
"GROSSENBRODE";3;"54°22'";"11°05'";583.3;54.37;11.08
"GROSSENHAIN-SKASSA";125;"51°17'";"13°28'";543.9;51.28;13.47
"GROSSENKNETEN-AHLHORN";42;"52°55'";"08°13'";713.9;52.92;8.22
"GROSSENKNETEN-SAGE";38;"52°56'";"08°12'";728.5;52.93;8.2
"GROSSENLUEDER-KLEINLUEDE";270;"50°32'";"09°31'";655.9;50.53;9.52
"GROSSER ARBER (WEWA)";1436;"49°06'";"13°08'";1443.6;49.1;13.13
"GROSSER FALKENSTEIN(WST)";1307;"49°05'";"13°16'";1406.4;49.08;13.27
"GROSSFAHNER";200;"51°04'";"10°50'";540.2;51.07;10.83
"GROSSGOERSCHEN";151;"51°12'";"12°10'";538.0;51.2;12.17
"GROSSGRIMMA-DEUMEN";143;"51°10'";"12°08'";566.0;51.17;12.13
"GROSSHABERSDORF";326;"49°24'";"10°47'";611.5;49.4;10.78
"GROSSHARTHAU";283;"51°07'";"14°06'";760.2;51.12;14.1
"GROSSHARTMANNSDORF/SPEI.";490;"50°48'";"13°20'";789.6;50.8;13.33
"GROSSHEIDE";4;"53°35'";"07°20'";858.1;53.58;7.33
"GROSSKOCHBERG";360;"50°47'";"11°22'";585.7;50.78;11.37
"GROSSKOELLNBACH-LEONSBG.";354;"48°41'";"12°35'";716.2;48.68;12.58
"GROSSKORBETHA";109;"51°15'";"12°01'";516.0;51.25;12.02
"GROSSLEHNA-ALTRANSTAEDT";115;"51°19'";"12°10'";527.0;51.32;12.17
"GROSSMEHRING-THEISSING";408;"48°48'";"11°34'";704.9;48.8;11.57
"GROSSMONRA";201;"51°13'";"11°18'";546.4;51.22;11.3
"GROSSOSTHEIM";110;"49°55'";"09°05'";719.7;49.92;9.08
"GROSSPOESNA-OBERHOLZ";162;"51°15'";"12°30'";567.9;51.25;12.5
"GROSSRINDERFELD-ILMSPAN";325;"49°40'";"09°47'";636.7;49.67;9.78
"GROSSROEHRSDORF/KLEINROE";263;"51°06'";"13°58'";780.1;51.1;13.97
"GROSSSCHWABHAUSEN";320;"50°56'";"11°29'";575.5;50.93;11.48
"GROSSWECHSUNGEN";195;"51°29'";"10°41'";575.9;51.48;10.68
"GROSSWELSBACH";191;"51°10'";"10°38'";499.3;51.17;10.63
"GRUBE";2;"54°13'";"11°02'";614.7;54.22;11.03
"GRUENBACH";697;"50°27'";"12°21'";928.0;50.45;12.35
"GRUENBERG";37;"53°21'";"14°09'";510.7;53.35;14.15
"GRUENBERG/HESS.";255;"50°36'";"08°58'";748.9;50.6;8.97
"GRUENDAU-HAINGRUENDAU";150;"50°15'";"09°09'";760.2;50.25;9.15
"GRUENEFELD";37;"52°41'";"12°58'";548.8;52.68;12.97
"GRUENEWALDE";95;"51°30'";"13°43'";570.3;51.5;13.72
"GRUENHAINICHEN";447;"50°46'";"13°09'";900.5;50.77;13.15
"GRUENHEIDE/MARK";35;"52°25'";"13°50'";595.1;52.42;13.83
"GRUENOW (AWST)";55;"53°19'";"13°56'";482.7;53.32;13.93
"GRUENSTADT";160;"49°33'";"08°11'";528.8;49.55;8.18
"GRUIBINGEN";564;"48°35'";"09°38'";1112.0;48.58;9.63
"GRUMBACH";290;"51°01'";"13°33'";694.5;51.02;13.55
"GRUND,BAD";300;"51°47'";"10°14'";1052.5;51.78;10.23
"GRUND,BAD (ERZBERGWERK)";320;"51°48'";"10°13'";931.7;51.8;10.22
"GSCHWEND,KR.OSTALB";492;"48°56'";"09°44'";1043.6;48.93;9.73
"GUBEN";46;"51°56'";"14°41'";556.7;51.93;14.68
"GUDENSBERG";220;"51°10'";"09°22'";651.3;51.17;9.37
"GUELITZ";60;"53°12'";"11°58'";586.6;53.2;11.97
"GUENSDORF";549;"50°40'";"12°51'";887.3;50.67;12.85
"GUENSERODE";170;"51°18'";"11°03'";534.4;51.3;11.05
"GUENSTEDT";140;"51°13'";"11°05'";468.6;51.22;11.08
"GUENTERSBERGE";425;"51°39'";"11°00'";745.1;51.65;11
"GUENTERSBERGE (GUT BAERE";444;"51°39'";"10°59'";631.0;51.65;10.98
"GUENTERSBERGE-FRIEDR.";475;"51°38'";"10°56'";806.4;51.63;10.93
"GUENZBURG";444;"48°29'";"10°15'";728.2;48.48;10.25
"GUESSEFELD";45;"52°43'";"11°22'";502.2;52.72;11.37
"GUESTROW-KLUESS";15;"53°46'";"12°14'";593.3;53.77;12.23
"GUETERSLOH";72;"51°53'";"08°21'";761.7;51.88;8.35
"GUETERSLOH (WASSERWERK)";76;"51°54'";"08°22'";734.1;51.9;8.37
"GUETZKOW";15;"53°56'";"13°24'";574.0;53.93;13.4
"GUMBSHEIM";140;"49°48'";"07°59'";538.7;49.8;7.98
"GUMMERSBACH";250;"51°01'";"07°35'";1268.8;51.02;7.58
"GUNDELFINGEN/DON.-PETER.";432;"48°31'";"10°22'";729.2;48.52;10.37
"GUNDELSHEIM";170;"49°17'";"09°10'";881.5;49.28;9.17
"GUNDIHAUSEN";475;"48°27'";"12°08'";829.9;48.45;12.13
"GUTACH I.BR.-BLEIBACH";302;"48°07'";"08°00'";1233.0;48.12;8
"GUTENECK-WEIDENTHAL";500;"49°28'";"12°17'";810.6;49.47;12.28
"GUTENZELL";550;"48°07'";"10°00'";900.7;48.12;10
"GUXHAGEN-BREITENAU";156;"51°12'";"09°29'";608.2;51.2;9.48
"HAAG,KR.MUEHLDORF";530;"48°09'";"12°10'";994.1;48.15;12.17
"HAALE";26;"54°10'";"09°33'";851.9;54.17;9.55
"HAAR-EGLFING";537;"48°06'";"11°44'";1001.7;48.1;11.73
"HADAMAR";160;"50°27'";"08°03'";739.2;50.45;8.05
"HADMERSLEBEN";87;"51°59'";"11°18'";456.3;51.98;11.3
"HAEHNICHEN";155;"51°21'";"14°51'";654.9;51.35;14.85
"HAGELSTADT";365;"48°53'";"12°13'";686.1;48.88;12.22
"HAGEN(HASPER TALSPERRE)";291;"51°17'";"07°24'";1156.3;51.28;7.4
"HAGEN-FLEY";100;"51°24'";"07°29'";899.6;51.4;7.48
"HAGEN-RUMMENOHL";205;"51°16'";"07°32'";1157.4;51.27;7.53
"HAGEN-WEHRINGHAUSEN";113;"51°21'";"07°26'";867.1;51.35;7.43
"HAGENBUECHACH";384;"49°32'";"10°46'";690.4;49.53;10.77
"HAGENOW";30;"53°26'";"11°10'";654.5;53.43;11.17
"HAHAUSEN";220;"51°56'";"10°14'";859.6;51.93;10.23
"HAHNBACH";385;"49°32'";"11°48'";763.8;49.53;11.8
"HAHNENKLEE (KKST)";567;"51°51'";"10°20'";1280.7;51.85;10.33
"HAIDMUEHLE-BISCHOFSREUT";1020;"48°50'";"13°43'";1255.7;48.83;13.72
"HAIGER";255;"50°45'";"08°14'";855.5;50.75;8.23
"HAIGER-DILLBRECHT";340;"50°48'";"08°12'";1059.4;50.8;8.2
"HAIGERLOCH-WEILDORF";524;"48°22'";"08°46'";769.5;48.37;8.77
"HAIMHAUSEN-OTTERSHAUSEN";464;"48°18'";"11°31'";865.1;48.3;11.52
"HAIMING";363;"48°12'";"12°53'";893.5;48.2;12.88
"HAINA (KLOSTER)";340;"51°02'";"08°59'";738.1;51.03;8.98
"HAINA(KLOSTER)-LOEHLBACH";495;"51°04'";"08°59'";748.6;51.07;8.98
"HAINAU";290;"50°13'";"07°46'";688.4;50.22;7.77
"HAITERBACH";528;"48°31'";"08°39'";877.8;48.52;8.65
"HAKEBORN";95;"51°55'";"11°22'";482.7;51.92;11.37
"HAKENBERG";36;"52°47'";"12°51'";529.6;52.78;12.85
"HAKENSTEDT";128;"52°12'";"11°16'";524.8;52.2;11.27
"HALBENDORF/SPREE";140;"51°17'";"14°33'";611.5;51.28;14.55
"HALBERSTADT";110;"51°54'";"11°03'";532.7;51.9;11.05
"HALBLECH-BUCHING";804;"47°36'";"10°48'";1382.2;47.6;10.8
"HALDEN";610;"48°09'";"10°21'";886.9;48.15;10.35
"HALDENSLEBEN";50;"52°17'";"11°25'";496.0;52.28;11.42
"HALLBERGMOOS-GOLDACH";462;"48°18'";"11°44'";850.4;48.3;11.73
"HALLE-AMMENDORF";82;"51°25'";"11°57'";478.5;51.42;11.95
"HALLE-BRUCKDORF";92;"51°27'";"12°02'";492.7;51.45;12.03
"HALLE-DOELAU";97;"51°31'";"11°53'";475.6;51.52;11.88
"HALLE-KROELLWITZ (AWST)";93;"51°30'";"11°57'";450.8;51.5;11.95
"HALLE-PLANENA";81;"51°25'";"11°57'";466.4;51.42;11.95
"HALLE-REIDEBURG";95;"51°28'";"12°03'";520.8;51.47;12.05
"HALLE-TROTHA";76;"51°30'";"11°57'";485.4;51.5;11.95
"HALLENBERG";417;"51°06'";"08°37'";904.8;51.1;8.62
"HALTERN";40;"51°44'";"07°12'";783.1;51.73;7.2
"HAMBURG (STADTPARK)";8;"53°35'";"10°01'";763.9;53.58;10.02
"HAMBURG-ALTONA";44;"53°34'";"09°54'";787.5;53.57;9.9
"HAMBURG-ELLERHOLZKANAL";7;"53°31'";"09°58'";753.6;53.52;9.97
"HAMBURG-FUHLS.(FLUGWEWA)";11;"53°38'";"09°59'";770.3;53.63;9.98
"HAMBURG-HAHNOEFERSAND";3;"53°33'";"09°43'";736.0;53.55;9.72
"HAMBURG-HARBURG";32;"53°25'";"09°59'";732.5;53.42;9.98
"HAMBURG-KALTEHOFE";2;"53°30'";"09°59'";732.8;53.5;9.98
"HAMBURG-NEUGRABEN";11;"53°28'";"09°52'";729.2;53.47;9.87
"HAMBURG-NEUWIEDENTHAL";3;"53°28'";"09°53'";706.9;53.47;9.88
"HAMBURG-OHLSDORF";25;"53°38'";"10°03'";803.4;53.63;10.05
"HAMBURG-POPPENBUETTEL";30;"53°40'";"10°05'";813.2;53.67;10.08
"HAMBURG-RAHLSTEDT";30;"53°36'";"10°10'";775.9;53.6;10.17
"HAMBURG-ST.PAULI (SWA)";22;"53°33'";"09°58'";783.6;53.55;9.97
"HAMBURG-WANDSBEK";18;"53°35'";"10°07'";790.4;53.58;10.12
"HAMBURG-WOHLDORF";25;"53°43'";"10°09'";772.9;53.72;10.15
"HAMDORF";10;"54°14'";"09°31'";819.1;54.23;9.52
"HAMELN";66;"52°07'";"09°19'";720.1;52.12;9.32
"HAMERSLEBEN";104;"52°03'";"11°05'";493.2;52.05;11.08
"HAMM-RHYNERN";96;"51°38'";"07°52'";790.2;51.63;7.87
"HAMMELBURG";220;"50°07'";"09°54'";645.0;50.12;9.9
"HAMMINKELN-MEHRHOOG";21;"51°45'";"06°29'";759.8;51.75;6.48
"HAMMINKELN-RINGENBERG";20;"51°44'";"06°36'";756.2;51.73;6.6
"HANDELOH";63;"53°15'";"09°50'";728.8;53.25;9.83
"HANDRUP";28;"52°34'";"07°36'";734.4;52.57;7.6
"HANERAU-HADEMARSCHEN";46;"54°07'";"09°24'";941.8;54.12;9.4
"HANKENSBUETTEL";79;"52°44'";"10°37'";703.1;52.73;10.62
"HANNBERG";300;"49°38'";"10°54'";657.2;49.63;10.9
"HANNOVER-HERRENHAUSEN";50;"52°23'";"09°39'";639.6;52.38;9.65
"HANNOVER-KIRCHRODE";58;"52°21'";"09°48'";644.4;52.35;9.8
"HANNOVER-LANG.(FLUGWEWA)";59;"52°27'";"09°40'";655.6;52.45;9.67
"HANNOVER-MESSEGELAENDE";74;"52°19'";"09°48'";633.8;52.32;9.8
"HANSKUEHNENBURG";811;"51°43'";"10°24'";1305.2;51.72;10.4
"HANSTEDT,KR.UELZ.-VELGEN";85;"53°05'";"10°24'";712.7;53.08;10.4
"HARBKE";130;"52°11'";"11°02'";539.7;52.18;11.03
"HARDENBECK";97;"53°15'";"13°33'";568.4;53.25;13.55
"HAREN-RUETENBROCK";12;"52°51'";"07°06'";681.3;52.85;7.1
"HARSCHBACH";285;"50°34'";"07°35'";963.9;50.57;7.58
"HARSEFELD";32;"53°27'";"09°29'";792.2;53.45;9.48
"HARSEWINKEL";65;"51°57'";"08°14'";704.7;51.95;8.23
"HARTENHOLM";32;"53°54'";"10°04'";812.4;53.9;10.07
"HARTENSTEIN-RUPPRECHTST.";410;"49°36'";"11°28'";1072.7;49.6;11.47
"HARTHA-FOERDERGERSDORF";335;"50°59'";"13°32'";757.5;50.98;13.53
"HARTHAUSEN,KR.ZOLLERNALB";737;"48°12'";"09°10'";786.2;48.2;9.17
"HARTHEIM";205;"47°56'";"07°37'";694.8;47.93;7.62
"HARTMANNSDORF B.KIRCHBRG";563;"50°33'";"12°34'";952.1;50.55;12.57
"HARTMANNSDORF, KRS.SAALE";200;"50°57'";"11°58'";600.0;50.95;11.97
"HARTMANNSDORF,KR.ODER-S.";37;"52°21'";"13°49'";556.5;52.35;13.82
"HARTMANNSDORF-REICHENAU";527;"50°49'";"13°35'";852.6;50.82;13.58
