"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"Temp";"Breite";"Lange"
"LEIPZIG-HOLZHAUSEN(AWST)";138;"51°18'";"12°26'";9.1;51.3;12.43
"LEIPZIG-SCHK. (FLUGWEWA)";141;"51°26'";"12°14'";8.8;51.43;12.23
"LENNESTADT-ALTENHUNDEM";300;"51°06'";"08°05'";8.1;51.1;8.08
"LENNINGEN-SCHOPFLOCH";758;"48°32'";"09°31'";7.2;48.53;9.52
"LENSAHN";14;"54°13'";"10°53'";8.3;54.22;10.88
"LENZKIRCH";818;"47°52'";"08°12'";6.1;47.87;8.2
"LEUNAWERKE";92;"51°19'";"12°02'";10.0;51.32;12.03
"LEVERKUSEN";44;"51°00'";"06°58'";10.8;51;6.97
"LILIENTAL BEI IHRINGEN";284;"48°04'";"07°40'";8.9;48.07;7.67
"LIMBURG/LAHN-OFFHEIM";185;"50°24'";"08°03'";9.3;50.4;8.05
"LINDENBERG (OBS)";98;"52°12'";"14°07'";8.6;52.2;14.12
"LINDENBERG/ALLGAEU";760;"47°35'";"09°53'";6.9;47.58;9.88
"LINDENFELS";341;"49°40'";"08°47'";9.4;49.67;8.78
"LINDENFELS-WINTERKASTEN";445;"49°42'";"08°46'";7.9;49.7;8.77
"LINGEN (WEWA)";22;"52°31'";"07°18'";9.4;52.52;7.3
"LIPPSPRINGE,BAD (WEWA)";157;"51°47'";"08°50'";8.9;51.78;8.83
"LIPPSTADT-BOEKENFOERDE";92;"51°38'";"08°23'";9.3;51.63;8.38
"LIST AUF SYLT (WEWA)";26;"55°00'";"08°24'";8.4;55;8.4
"LOENINGEN-MEERDORF";22;"52°44'";"07°45'";9.0;52.73;7.75
"LOHR/M.-STEINBACH";161;"50°00'";"09°36'";8.6;50;9.6
"LORCH/RHEIN";100;"50°02'";"07°49'";9.3;50.03;7.82
"LUDWIGSBURG";287;"48°53'";"09°12'";9.5;48.88;9.2
"LUEBECK (WST)";13;"53°52'";"10°41'";8.8;53.87;10.68
"LUEBECK-BLANKENSEE(AWST)";5;"53°48'";"10°42'";8.1;53.8;10.7
"LUEBECK-WERFT";5;"53°53'";"10°42'";8.8;53.88;10.7
"LUECHOW (AWST)";17;"52°58'";"11°08'";8.6;52.97;11.13
"LUEDENSCHEID";444;"51°12'";"07°38'";7.9;51.2;7.63
"LUEDINGHAUSEN";58;"51°46'";"07°24'";9.4;51.77;7.4
"LUENEBURG";11;"53°16'";"10°25'";8.9;53.27;10.42
"MAGDEBURG (WEWA)";76;"52°06'";"11°35'";8.7;52.1;11.58
"MAINHARDT-ZIEGELBRONN";473;"49°03'";"09°34'";7.8;49.05;9.57
"MAINZ";125;"49°59'";"08°15'";10.1;49.98;8.25
"MAISACH-GERNLINDEN";509;"48°13'";"11°17'";7.9;48.22;11.28
"MALLERSDORF/NDB.";410;"48°46'";"12°15'";8.4;48.77;12.25
"MALSBURG-M.-FRIEDRICHSH.";852;"47°46'";"07°44'";6.6;47.77;7.73
"MANDERSCHEID/EIFEL";419;"50°05'";"06°48'";7.8;50.08;6.8
"MANNHEIM (WEWA)";96;"49°30'";"08°33'";10.2;49.5;8.55
"MANSCHNOW (WEWA)";12;"52°32'";"14°32'";8.5;52.53;14.53
"MARBURG-WEHRDA";186;"50°50'";"08°45'";8.9;50.83;8.75
"MARIENBERG,BAD (WEWA)";547;"50°39'";"07°57'";6.8;50.65;7.95
"MARNITZ (WEWA)";81;"53°19'";"11°56'";8.2;53.32;11.93
"MAYEN";230;"50°19'";"07°13'";9.1;50.32;7.22
"MEERSBURG";460;"47°41'";"09°16'";8.9;47.68;9.27
"MEINERZHAGEN (A)";506;"51°05'";"07°40'";7.1;51.08;7.67
"MEININGEN (WEWA)";450;"50°33'";"10°22'";6.9;50.55;10.37
"MELLE";87;"52°11'";"08°23'";8.9;52.18;8.38
"MELSUNGEN";190;"51°08'";"09°33'";8.4;51.13;9.55
"MEMMINGEN";610;"47°59'";"10°08'";7.8;47.98;10.13
"MENZ";77;"53°06'";"13°02'";8.0;53.1;13.03
"MERGENTHEIM,BAD-NEUNKIR.";250;"49°28'";"09°45'";8.6;49.47;9.75
"METTEN";313;"48°51'";"12°55'";7.7;48.85;12.92
"MILTENBERG";127;"49°42'";"09°13'";9.2;49.7;9.22
"MITTBACH/OBB.";621;"48°09'";"12°01'";7.5;48.15;12.02
"MITTEL-GRUENDAU";155;"50°13'";"09°06'";9.3;50.22;9.1
"MITTENWALD";920;"47°26'";"11°16'";6.7;47.43;11.27
"MODAUTAL-NEUNKIRCHEN";508;"49°44'";"08°46'";8.1;49.73;8.77
"MOELLN";42;"53°36'";"10°41'";8.4;53.6;10.68
"MUEHLDORF/INN (WEWA)";405;"48°16'";"12°30'";8.0;48.27;12.5
"MUELLHEIM";273;"47°48'";"07°38'";9.7;47.8;7.63
"MUENCHEBERG";63;"52°31'";"14°07'";8.3;52.52;14.12
"MUENCHEN-NYMPHENBURG";515;"48°10'";"11°30'";8.1;48.17;11.5
"MUENCHEN-RIEM (FLUGWEWA)";528;"48°08'";"11°42'";7.8;48.13;11.7
"MUENCHEN-STADT (WEWA)";515;"48°09'";"11°32'";9.1;48.15;11.53
"MUENSINGEN-APFELSTETTEN";750;"48°23'";"09°29'";6.5;48.38;9.48
"MUENSTER";62;"51°57'";"07°35'";9.2;51.95;7.58
"MUENSTERTAL-OBERM.TAL";515;"47°52'";"07°49'";8.4;47.87;7.82
"MURRHARDT";344;"48°58'";"09°34'";7.9;48.97;9.57
"NAGOLD";380;"48°34'";"08°43'";7.7;48.57;8.72
"NAUHEIM, BAD";142;"50°22'";"08°45'";8.9;50.37;8.75
"NEUBRANDENBURG (AWST)";81;"53°32'";"13°11'";7.9;53.53;13.18
"NEUDENAU";212;"49°17'";"09°16'";9.4;49.28;9.27
"NEUENAHR,BAD-AHRWEILER";111;"50°32'";"07°05'";9.8;50.53;7.08
"NEUHAUS";820;"50°30'";"11°09'";4.9;50.5;11.15
"NEUHAUS A. RENNW.(WEWA)";845;"50°30'";"11°08'";4.9;50.5;11.13
"NEUHAUSEN OB ECK (BW)";793;"47°58'";"08°54'";6.4;47.97;8.9
"NEUKIRCHEN-HAUPTSCHWENDA";500;"50°53'";"09°24'";7.2;50.88;9.4
"NEUMUENSTER";26;"54°05'";"09°58'";8.4;54.08;9.97
"NEUNK.-SEELSCH.-MEISENB.";185;"50°53'";"07°18'";9.1;50.88;7.3
"NEUNKIRCHEN-WELLESWEILER";236;"49°20'";"07°13'";9.1;49.33;7.22
"NEURUPPIN (WEWA)";38;"52°54'";"12°48'";8.5;52.9;12.8
"NEUSTADT/AISCH";315;"49°34'";"10°36'";8.4;49.57;10.6
"NEUSTADT/WSTR.(HEIDEHOF)";125;"49°20'";"08°10'";10.1;49.33;8.17
"NEUSTRELITZ";64;"53°20'";"13°05'";8.0;53.33;13.08
"NEUTRAUBLING";332;"48°59'";"12°12'";8.3;48.98;12.2
"NEUWIED";91;"50°26'";"07°25'";9.7;50.43;7.42
"NIDDERAU-WINDECKEN";180;"50°14'";"08°53'";9.5;50.23;8.88
"NIEDERELBERT";250;"50°24'";"07°48'";8.2;50.4;7.8
"NIEDERSTOTZINGEN";451;"48°32'";"10°14'";7.4;48.53;10.23
"NIEDERWOERRESBACH";302;"49°46'";"07°20'";7.9;49.77;7.33
"NIENBURG";26;"52°38'";"09°12'";9.0;52.63;9.2
"NOERDLINGEN";425;"48°51'";"10°30'";8.0;48.85;10.5
"NORDERNEY (WEWA)";11;"53°42'";"07°09'";9.0;53.7;7.15
"NORDHORN";24;"52°26'";"07°06'";9.2;52.43;7.1
"NUEMBRECHT-DISTELKAMP";303;"50°54'";"07°34'";8.3;50.9;7.57
"NUERBURG (WST)";627;"50°20'";"06°57'";6.7;50.33;6.95
"NUERNBERG-BUCHENBUEHL";335;"49°30'";"11°06'";8.6;49.5;11.1
"NUERNBERG-KRA.(FLUGWEWA)";314;"49°30'";"11°03'";8.8;49.5;11.05
"NUERNBERG-NETZSTALL";368;"49°25'";"11°15'";8.0;49.42;11.25
"NUERTINGEN-OBERENSINGEN";280;"48°37'";"09°19'";8.8;48.62;9.32
"OBERAUDORF";490;"47°39'";"12°10'";7.7;47.65;12.17
"OBERNDORF/NECKAR-AISTAIG";464;"48°19'";"08°35'";7.8;48.32;8.58
"OBERSCHLEISSHEIM (WEWA)";484;"48°14'";"11°33'";7.8;48.23;11.55
"OBERSTAUFEN-KALZHOFEN";800;"47°33'";"10°01'";6.3;47.55;10.02
"OBERSTDORF (WEWA)";806;"47°23'";"10°16'";6.1;47.38;10.27
"OBERVIECHTACH";596;"49°27'";"12°26'";6.8;49.45;12.43
"OCHTRUP";56;"52°12'";"07°10'";9.5;52.2;7.17
"OEHRINGEN (WEWA)";276;"49°12'";"09°31'";9.1;49.2;9.52
"OFFENBACH/M. (STADT)";110;"50°05'";"08°45'";10.3;50.08;8.75
"OFFENBURG";153;"48°27'";"07°55'";10.0;48.45;7.92
"OHLSBACH";176;"48°25'";"07°59'";9.6;48.42;7.98
"OLDENBURG";5;"53°06'";"08°15'";8.7;53.1;8.25
"OLDENBURG (WEWA)";11;"53°10'";"08°10'";8.7;53.17;8.17
"OLSDORF";305;"49°55'";"06°22'";8.3;49.92;6.37
"OSCHATZ (WEWA)";150;"51°17'";"13°05'";8.6;51.28;13.08
"OSNABRUECK (AWST)";95;"52°15'";"08°03'";9.1;52.25;8.05
"OSTERFELD (AWST)";246;"51°05'";"11°55'";8.3;51.08;11.92
"OY-MITTELBERG";1010;"47°38'";"10°25'";6.7;47.63;10.42
"PARSBERG/OPF.-EGLWANG";549;"49°09'";"11°41'";7.5;49.15;11.68
"PASSAU-OBERHAUS (WST)";409;"48°34'";"13°28'";8.0;48.57;13.47
"PERL-NENNIG";152;"49°32'";"06°22'";9.8;49.53;6.37
"PFOFELD-LANGLAU";435;"49°07'";"10°51'";7.6;49.12;10.85
"PFORZHEIM-EUTINGEN";246;"48°54'";"08°44'";9.1;48.9;8.73
"PFULLENDORF";630;"47°56'";"09°17'";6.7;47.93;9.28
"PIRMASENS";280;"49°12'";"07°35'";8.0;49.2;7.58
"PLAUEN (AWST)";386;"50°28'";"12°07'";7.5;50.47;12.12
"PLOEN (SEE)";24;"54°09'";"10°24'";8.4;54.15;10.4
"POMMELSBRUNN";368;"49°30'";"11°30'";7.4;49.5;11.5
"POTSDAM (OBS)";81;"52°23'";"13°03'";8.7;52.38;13.05
"PUTBUS (AWST)";40;"54°21'";"13°28'";7.9;54.35;13.47
"QUEDLINBURG";123;"51°46'";"11°08'";8.8;51.77;11.13
"QUICKBORN (AWST)";13;"53°44'";"09°52'";8.3;53.73;9.87
"RADOLFZELL-MARKELFINGEN";407;"47°44'";"09°00'";9.0;47.73;9
"RAHDEN-VARL";42;"52°26'";"08°34'";8.8;52.43;8.57
"RAISTING";553;"47°54'";"11°06'";7.6;47.9;11.1
"RAUSCHBERG B.RUHPOLDING";1640;"47°44'";"12°41'";3.4;47.73;12.68
"RECKLINGHAUSEN";109;"51°37'";"07°10'";9.6;51.62;7.17
"REGENSBURG (WEWA)";366;"49°02'";"12°06'";8.2;49.03;12.1
"REICHENHALL,BAD";470;"47°43'";"12°52'";8.0;47.72;12.87
"REIT I.WINKL";690;"47°40'";"12°27'";6.2;47.67;12.45
"REMETSCHWIEL";760;"47°40'";"08°09'";7.2;47.67;8.15
"RENDSBURG";8;"54°17'";"09°40'";8.2;54.28;9.67
"RENGSDORF (KST)";315;"50°30'";"07°29'";8.4;50.5;7.48
"RHEINAU-MEMPRECHTSHOFEN";131;"48°40'";"07°59'";9.7;48.67;7.98
"RHEINFELDEN";287;"47°33'";"07°47'";10.0;47.55;7.78
"RHEINSTETTEN-FORCHHEIM";116;"48°58'";"08°20'";9.8;48.97;8.33
"ROETGEN";440;"50°38'";"06°12'";7.7;50.63;6.2
"ROSENHEIM";444;"47°52'";"12°07'";8.3;47.87;12.12
"ROSTOCK-WARNEM.(WEWA)";4;"54°10'";"12°04'";8.4;54.17;12.07
"ROTENBURG (WUEMME)";32;"53°07'";"09°20'";8.7;53.12;9.33
"ROTH B. NUERNBERG";340;"49°15'";"11°05'";8.3;49.25;11.08
"ROTHENBURG O.D.TAUBER";412;"49°23'";"10°10'";8.1;49.38;10.17
"ROTHENFELDE,BAD";87;"52°06'";"08°09'";9.0;52.1;8.15
"ROTTACH-EGERN";747;"47°40'";"11°46'";6.8;47.67;11.77
"ROTTENBURG-KIEBINGEN";360;"48°28'";"08°58'";8.3;48.47;8.97
"ROTTWEIL";588;"48°10'";"08°38'";7.3;48.17;8.63
"RUHPOLDING";692;"47°43'";"12°39'";6.0;47.72;12.65
"RUPPERTSECKEN";461;"49°38'";"07°53'";8.2;49.63;7.88
"RUTESHEIM";449;"48°48'";"08°57'";8.4;48.8;8.95
"SAARBRUECKEN-E(FLUGWEWA)";320;"49°12'";"07°06'";8.9;49.2;7.1
"SAARBRUECKEN-ST.JOHANN";193;"49°13'";"07°01'";10.4;49.22;7.02
"SAARLOUIS";180;"49°19'";"06°44'";9.6;49.32;6.73
"SACHSA,BAD (AKKST)";333;"51°36'";"10°32'";7.2;51.6;10.53
"SALDENBURG-ENTSCHENREUTH";455;"48°47'";"13°19'";6.8;48.78;13.32
"SALZGITTER-RINGELHEIM";138;"52°02'";"10°18'";8.8;52.03;10.3
"SALZUFLEN,BAD (AWST)";135;"52°06'";"08°45'";9.2;52.1;8.75
"SANDBERG";510;"50°21'";"10°00'";7.2;50.35;10
"SANKT BLASIEN";795;"47°45'";"08°07'";6.2;47.75;8.12
"SANKT BLASIEN-MENZENSCHW";885;"47°49'";"08°04'";5.5;47.82;8.07
"SANKT MAERGEN";896;"48°00'";"08°05'";6.9;48;8.08
"SANKT PETER-ORDING(WEWA)";5;"54°19'";"08°36'";8.5;54.32;8.6
"SANKT WENDEL-LEITERSWEIL";420;"49°30'";"07°12'";8.3;49.5;7.2
"SCHAAFHEIM-SCHLIERBACH";155;"49°55'";"08°58'";9.2;49.92;8.97
"SCHALLSTADT-MENGEN";215;"47°57'";"07°42'";10.3;47.95;7.7
"SCHAUMBERG B.THOLEY";569;"49°29'";"07°01'";7.4;49.48;7.02
"SCHEIDEGG (AKKST)";778;"47°35'";"09°51'";7.3;47.58;9.85
"SCHEMMERHOFEN-INGERKING.";519;"48°12'";"09°46'";7.9;48.2;9.77
"SCHIEDER";155;"51°54'";"09°09'";8.6;51.9;9.15
"SCHIERKE";609;"51°46'";"10°38'";5.3;51.77;10.63
"SCHLESWIG (WEWA)";43;"54°31'";"09°32'";8.0;54.52;9.53
"SCHLESWIG-STADTFELD";19;"54°31'";"09°33'";8.2;54.52;9.55
"SCHLIERSEE";780;"47°44'";"11°51'";6.7;47.73;11.85
"SCHLOSSBOECKELHEIM";170;"49°47'";"07°45'";9.2;49.78;7.75
"SCHLUCHSEE";993;"47°49'";"08°11'";5.6;47.82;8.18
"SCHLUECHTERN-HEROLZ";230;"50°20'";"09°33'";8.6;50.33;9.55
"SCHLUECHTERN-KLO.-GOMFR.";375;"50°23'";"09°32'";7.7;50.38;9.53
"SCHMELZ-HUETTERSDORF";223;"49°25'";"06°50'";8.9;49.42;6.83
"SCHMUECKE (AWST)";937;"50°39'";"10°46'";4.4;50.65;10.77
"SCHNARRTANNE-VOGELSGRUEN";708;"50°30'";"12°27'";6.0;50.5;12.45
"SCHNEIFELFORSTHAUS";657;"50°17'";"06°25'";6.4;50.28;6.42
"SCHOEMBERG,KR.CALW";635;"48°47'";"08°38'";7.4;48.78;8.63
"SCHOENAU A.KOE.SEE AKKST";616;"47°36'";"12°59'";7.2;47.6;12.98
"SCHOENWALD/SCHW. (KKST)";1021;"48°06'";"08°11'";5.8;48.1;8.18
"SCHONACH";904;"48°08'";"08°12'";6.4;48.13;8.2
"SCHOPFHEIM-EICHEN";400;"47°38'";"07°50'";8.5;47.63;7.83
"SCHOTTEN";265;"50°29'";"09°07'";8.2;50.48;9.12
"SCHULENBERG";504;"51°50'";"10°25'";6.2;51.83;10.42
"SCHWAEB.GMUEND-STRASSDF.";415;"48°46'";"09°48'";8.8;48.77;9.8
"SCHWAEB.HALL-TEURERSHOF";365;"49°07'";"09°42'";8.6;49.12;9.7
"SCHWAIGERMOOS";444;"48°22'";"11°48'";7.7;48.37;11.8
"SCHWANDORF";356;"49°19'";"12°05'";7.7;49.32;12.08
"SCHWANGAU-HORN";792;"47°34'";"10°43'";6.8;47.57;10.72
"SCHWARZE PUMPE";116;"51°31'";"14°21'";9.1;51.52;14.35
"SCHWEINFURT";240;"50°03'";"10°13'";8.8;50.05;10.22
"SCHWERIN (WEWA)";59;"53°38'";"11°23'";8.4;53.63;11.38
"SEEHAUSEN (WEWA)";21;"52°53'";"11°43'";8.5;52.88;11.72
"SEESEN";186;"51°54'";"10°11'";8.5;51.9;10.18
"SEGEBERG,BAD";49;"53°55'";"10°18'";8.1;53.92;10.3
"SELB/OFR.-WILDENAU";611;"50°11'";"12°10'";6.2;50.18;12.17
"SIEGEN";263;"50°52'";"08°00'";8.6;50.87;8
"SIGMARINGEN-LAIZ";580;"48°04'";"09°11'";7.2;48.07;9.18
"SIMBACH/INN";360;"48°16'";"13°01'";8.0;48.27;13.02
"SIMMERN-WAHLBACH";437;"50°00'";"07°35'";7.6;50;7.58
"SOLINGEN-HOHENSCHEID";154;"51°08'";"07°05'";9.1;51.13;7.08
"SOLTAU (AWST)";77;"52°59'";"09°50'";8.4;52.98;9.83
"SONNEBERG-NEUFANG (AWST)";626;"50°22'";"11°11'";6.2;50.37;11.18
"SONTRA";365;"51°03'";"09°55'";7.4;51.05;9.92
"SOODEN,BAD-ALLENDORF";147;"51°16'";"09°57'";8.8;51.27;9.95
"SPEINSHART/OPF.";424;"49°47'";"11°49'";7.0;49.78;11.82
"SPOEREN-PRUSSENDORF";87;"51°36'";"12°06'";8.9;51.6;12.1
"STAMMBACH-QUERENBACH";598;"50°09'";"11°44'";6.3;50.15;11.73
"STEGEN";363;"47°59'";"07°56'";9.3;47.98;7.93
"STEINBERG";500;"51°21'";"09°41'";6.6;51.35;9.68
"STIEGE";496;"51°40'";"10°53'";6.4;51.67;10.88
"STOCKACH";532;"47°51'";"09°00'";7.8;47.85;9
"STOCKHEIM";305;"50°27'";"10°16'";7.8;50.45;10.27
"STOETTEN (WEWA)";734;"48°39'";"09°52'";6.8;48.65;9.87
"STRAUBING (WEWA)";350;"48°49'";"12°33'";8.3;48.82;12.55
"STUTTGART (NECKARTAL)";223;"48°47'";"09°13'";10.6;48.78;9.22
"STUTTGART (WA)";286;"48°46'";"09°10'";10.1;48.77;9.17
"STUTTGART(SCHNAR.AWST)";311;"48°49'";"09°12'";9.5;48.82;9.2
"STUTTGART-ECH.(FLUGWEWA)";371;"48°41'";"09°13'";8.6;48.68;9.22
"STUTTGART-HOHENHEIM";401;"48°42'";"09°12'";8.7;48.7;9.2
"TAUBERBISCH.-DITTIGHEIM";179;"49°36'";"09°40'";8.6;49.6;9.67
"TEGERNSEE (AKKST)";837;"47°42'";"11°45'";7.4;47.7;11.75
"TETEROW (AWST)";46;"53°45'";"12°37'";8.1;53.75;12.62
"TEUSCHNITZ-WICKENDORF";568;"50°22'";"11°22'";6.2;50.37;11.37
"THEESSEN";61;"52°14'";"12°03'";8.8;52.23;12.05
"THOLEY (AWST)";396;"49°28'";"07°02'";8.4;49.47;7.03
"THUENGERSHEIM-STAUSTUFE";165;"49°51'";"09°51'";9.3;49.85;9.85
"TIRSCHENREUTH";515;"49°53'";"12°20'";6.9;49.88;12.33
"TITISEE-N.-LANGENORDNACH";870;"47°56'";"08°11'";5.7;47.93;8.18
"TITISEE-N.-TITIS.(AKKST)";846;"47°54'";"08°08'";5.6;47.9;8.13
"TODTMOOS";781;"47°43'";"08°00'";6.2;47.72;8
"TOELZ,BAD";640;"47°46'";"11°32'";7.2;47.77;11.53
"TOENISVORST";37;"51°17'";"06°26'";10.0;51.28;6.43
"TORFHAUS I.SOLLING";491;"51°45'";"09°33'";6.3;51.75;9.55
"TORGAU";80;"51°35'";"13°00'";8.7;51.58;13
"TRAUNSTEIN-AXDORF";635;"47°51'";"12°37'";7.6;47.85;12.62
"TRAVEMUENDE";9;"53°58'";"10°52'";8.6;53.97;10.87
"TRIBERG";683;"48°07'";"08°13'";7.0;48.12;8.22
"TRIBERG (KURPARK)";700;"48°07'";"08°14'";7.1;48.12;8.23
"TRIER (STADT)";144;"49°45'";"06°38'";9.9;49.75;6.63
"TRIER-PETRISBERG (WEWA)";265;"49°44'";"06°39'";9.1;49.73;6.65
"TROCHTELFINGEN";700;"48°18'";"09°14'";5.8;48.3;9.23
"TROSTBERG";489;"48°01'";"12°33'";8.1;48.02;12.55
"TUEBINGEN (SCHLOSS)";370;"48°31'";"09°03'";8.9;48.52;9.05
"TUTTLINGEN-MOEHRINGEN";675;"47°57'";"08°45'";6.6;47.95;8.75
"UEBERLINGEN/BODENSEE";490;"47°46'";"09°11'";8.7;47.77;9.18
"UECKERMUENDE (AWST)";1;"53°44'";"14°04'";8.2;53.73;14.07
"UELZEN";50;"52°56'";"10°31'";8.5;52.93;10.52
"ULM (AWST)";571;"48°23'";"09°57'";7.9;48.38;9.95
"UNTERLUESS";95;"52°51'";"10°17'";8.1;52.85;10.28
"URACH,BAD";471;"48°29'";"09°24'";8.0;48.48;9.4
"UTTENREUTH";291;"49°35'";"11°04'";8.2;49.58;11.07
"VATTERODE-GRAEFENSTUHL";240;"51°36'";"11°24'";8.2;51.6;11.4
"VILLINGEN-SCHWENNINGEN";720;"48°02'";"08°27'";6.7;48.03;8.45
"VISBEK";51;"52°50'";"08°18'";8.8;52.83;8.3
"VOELKLINGEN";220;"49°15'";"06°51'";9.8;49.25;6.85
"VOELKLINGEN (KW-FENNE)";187;"49°15'";"06°52'";10.5;49.25;6.87
"VOGTSBURG-OBERROTWEIL";223;"48°05'";"07°38'";10.1;48.08;7.63
"WAGERSROTT";40;"54°40'";"09°48'";7.8;54.67;9.8
"WAGHAEUSEL-KIRRLACH";105;"49°14'";"08°32'";10.4;49.23;8.53
"WAHLSBURG-LIPPOLDSBERG";176;"51°37'";"09°34'";8.4;51.62;9.57
"WAHLSTEDT";45;"53°57'";"10°13'";8.2;53.95;10.22
"WAHNSDORF B. DRESDEN";246;"51°07'";"13°41'";8.6;51.12;13.68
"WAIBLINGEN";224;"48°49'";"09°19'";9.3;48.82;9.32
"WALDACHTAL-LUETZENHARDT";595;"48°29'";"08°33'";7.1;48.48;8.55
"WALDECK";376;"51°12'";"09°04'";7.7;51.2;9.07
"WALDEMS-REINBORN";380;"50°15'";"08°21'";8.1;50.25;8.35
"WALDHAEUSER (NAT.PARK)";940;"48°55'";"13°27'";5.6;48.92;13.45
"WALDSHUT";330;"47°37'";"08°14'";9.1;47.62;8.23
"WANGEROOGE";3;"53°47'";"07°54'";8.9;53.78;7.9
"WAREN (AWST)";70;"53°31'";"12°40'";8.1;53.52;12.67
"WARTENBERG-ANGERSBACH";270;"50°37'";"09°26'";8.0;50.62;9.43
"WASSERBURG/INN";443;"48°03'";"12°13'";7.9;48.05;12.22
"WASSERKUPPE (WEWA)";921;"50°29'";"09°56'";4.8;50.48;9.93
"WEIDEN/OPF. (WEWA)";438;"49°40'";"12°11'";7.4;49.67;12.18
"WEIDENBACH,KR.ANSBACH";425;"49°11'";"10°39'";7.7;49.18;10.65
"WEIHENSTEPHAN (AMBF)";470;"48°24'";"11°41'";7.5;48.4;11.68
"WEILBURG";135;"50°28'";"08°15'";9.1;50.47;8.25
"WEILERSWIST-LOMMERSUM";146;"50°42'";"06°47'";9.6;50.7;6.78
"WEINBIET (WEWA)";553;"49°22'";"08°07'";7.8;49.37;8.12
"WEINGARTEN,KR.RAVENSBURG";440;"47°48'";"09°37'";8.7;47.8;9.62
"WEINSBERG";219;"49°09'";"09°17'";9.6;49.15;9.28
"WEISEN B. WITTENBERGE";24;"53°02'";"11°48'";8.3;53.03;11.8
"WEISKIRCHEN/SAAR";380;"49°33'";"06°48'";8.7;49.55;6.8
"WEISMAIN";317;"50°05'";"11°14'";7.5;50.08;11.23
"WEISSACH";455;"48°50'";"08°54'";8.6;48.83;8.9
"WEISSENBURG/BAY. (WEWA)";422;"49°01'";"10°57'";8.1;49.02;10.95
"WEISSENFELS";115;"51°13'";"11°58'";9.4;51.22;11.97
"WENDELSTEIN (WEWA)";1832;"47°42'";"12°00'";2.1;47.7;12
"WERNECK-MUEHLHAUSEN";216;"49°57'";"10°02'";8.2;49.95;10.03
"WERTHEIM-EICHEL";140;"49°46'";"09°32'";9.1;49.77;9.53
"WESTERMARKELSD. (WEWA)";3;"54°31'";"11°03'";8.3;54.52;11.05
"WIESBADEN (SUED)";142;"50°04'";"08°15'";9.8;50.07;8.25
"WIESBADEN-DOTZHEIM";235;"50°05'";"08°11'";8.6;50.08;8.18
"WILDBAD,BAD-CALMBACH";400;"48°46'";"08°35'";8.1;48.77;8.58
"WILDBAD,BAD-SOMMERBERG";740;"48°45'";"08°32'";7.2;48.75;8.53
"WILDUNGEN,BAD";310;"51°06'";"09°06'";8.1;51.1;9.1
"WILHELMSHAVEN";1;"53°35'";"08°06'";8.7;53.58;8.1
"WILLINGEN/UPLAND";580;"51°17'";"08°36'";6.4;51.28;8.6
"WILLINGEN/UPLAND-USSELN";594;"51°16'";"08°40'";6.2;51.27;8.67
"WINTERBERG";681;"51°11'";"08°31'";5.9;51.18;8.52
"WITTENBERG (WEWA)";105;"51°53'";"12°38'";8.7;51.88;12.63
"WITZENHAUSEN";133;"51°21'";"09°50'";8.7;51.35;9.83
"WOERNITZ-BOTTENWEILER";464;"49°13'";"10°13'";7.5;49.22;10.22
"WOLDEGK (AWST)";118;"53°27'";"13°36'";7.6;53.45;13.6
"WOLFACH";291;"48°17'";"08°14'";9.4;48.28;8.23
"WOLFSBURG-SUELFELD";70;"52°25'";"10°41'";9.2;52.42;10.68
"WOLFSTEIN/PFALZ";200;"49°34'";"07°37'";9.0;49.57;7.62
"WORMS";88;"49°36'";"08°22'";10.4;49.6;8.37
"WORPSWEDE-HUETTENBUSCH";7;"53°16'";"08°59'";8.4;53.27;8.98
"WRIXUM/FOEHR";1;"54°41'";"08°34'";8.4;54.68;8.57
"WUERZBURG (KLAERWERK)";170;"49°47'";"09°53'";9.4;49.78;9.88
"WUERZBURG (WEWA)";268;"49°46'";"09°57'";9.1;49.77;9.95
"WUPPERTAL-BUCHENHOFEN";128;"51°13'";"07°06'";9.5;51.22;7.1
"WUTOESCHINGEN-OFTERINGEN";398;"47°40'";"08°22'";8.7;47.67;8.37
"ZEHDENICK";51;"52°58'";"13°19'";8.4;52.97;13.32
"ZEITZ";170;"51°04'";"12°08'";9.0;51.07;12.13
"ZINNWALD-GEORGEN.(WEWA)";877;"50°43'";"13°45'";4.3;50.72;13.75
"ZUGSPITZE (WEWA)";2960;"47°25'";"10°59'";-4.8;47.42;10.98
"ZWIESELBERG";615;"49°00'";"13°12'";6.2;49;13.2
